RAJ2000	DEJ2000	amaj250	amin250	PA	FWHM	amaj160	amin160	amaj70	amin70	l	b
259.9846	-35.9724	39	19	69	27	38.61023180453596	18.186533479473212	37.5877639664825	15.900943368240766	351.1518932832937	0.6955628297557622
259.9877	-35.9644	34	26	60	30	33.552198139615236	25.411611519146124	32.3703568098963	23.829393613770367	351.1598902000893	0.6980834738734846
259.9744	-35.9638	34	31	112	33	33.552198139615236	30.5081956201936	32.3703568098963	29.2034244567311	351.1542209591937	0.7072544028227472
260.0852	-35.9208	24	20	61	22	23.36129277244733	19.22888452302941	21.629609335353237	17.083325203250098	351.2408027960782	0.6582588104673495
260.0862	-35.915	25	19	130	22	24.387496796514398	18.186533479473212	22.734115333568624	15.900943368240766	351.24602573374494	0.6609084156734142
260.0768	-35.9125	51	30	26	39	50.7025640377289	29.491524206117255	49.92834866085599	28.139651739138493	351.2437266569268	0.6685845975538448
260.0566	-35.9128	24	19	74	21	23.36129277244733	18.186533479473212	21.629609335353237	15.900943368240766	351.2341286787831	0.6818374685670444
260.0904	-35.9277	29	22	-1	25	28.473672049807696	21.301408404140794	27.071017712675673	19.386593305684215	351.2375460791138	0.6508603597233774
260.0852	-35.9208	24	20	61	22	23.36129277244733	19.22888452302941	21.629609335353237	17.083325203250098	351.2408027960782	0.6582588104673495
260.098	-35.9157	37	26	87	31	36.5889327529514	25.411611519146124	35.50830888679437	23.829393613770367	351.2509118771533	0.6526653545824437
260.0862	-35.915	25	19	130	22	24.387496796514398	18.186533479473212	22.734115333568624	15.900943368240766	351.24602573374494	0.6609084156734142
260.2243	-35.7901	25	19	15	22	24.387496796514398	18.186533479473212	22.734115333568624	15.900943368240766	351.4124827510688	0.6402977553034819
260.2147	-35.7895	28	19	95	23	27.454507826584692	18.186533479473212	25.996922894835073	15.900943368240766	351.4085345833839	0.6470367918585033
260.2207	-35.7836	25	22	2	23	24.387496796514398	21.301408404140794	22.734115333568624	19.386593305684215	351.41615729857386	0.6464032963009441
260.2288	-35.7721	30	19	-18	24	29.491524206117255	18.186533479473212	28.139651739138493	15.900943368240766	351.42935246717775	0.6475624581099407
260.2114	-35.7777	38	19	127	27	37.59986702104145	18.186533479473212	36.54914499683953	15.900943368240766	351.4167011022159	0.6559655800926384
260.2226	-35.7606	36	19	92	26	35.57738045444043	18.186533479473212	34.465054765660824	15.900943368240766	351.4359315378161	0.6582526237735203
260.2162	-35.7553	26	19	107	22	25.411611519146124	18.186533479473212	23.829393613770367	15.900943368240766	351.43732367880796	0.6655413281502526
260.2383	-35.7545	40	19	0	28	39.62007067131506	18.186533479473212	38.62434465463459	15.900943368240766	351.4482079098524	0.65126400598525
260.2287	-35.7541	42	33	-36	37	41.63832369344376	32.53843880704789	40.69201395851525	31.318365219148973	351.4440944416639	0.6578924618471444
260.2262	-35.7392	28	19	94	23	27.454507826584692	18.186533479473212	25.996922894835073	15.900943368240766	351.45517874280847	0.668055219405084

